Precipitation,Date,Country
238.3,1991-06-01,Japan
252.4,1991-07-01,Japan
191.4,1991-08-01,Japan
228.9,1991-09-01,Japan
164.4,1991-10-01,Japan
95.1,1991-11-01,Japan
87.0,1991-12-01,Japan
74.6,1992-01-01,Japan
65.2,1992-02-01,Japan
157.5,1992-03-01,Japan
138.8,1992-04-01,Japan
137.9,1992-05-01,Japan
171.0,1992-06-01,Japan
131.4,1992-07-01,Japan
215.9,1992-08-01,Japan
149.3,1992-09-01,Japan
134.3,1992-10-01,Japan
96.7,1992-11-01,Japan
105.3,1992-12-01,Japan
105.8,1993-01-01,Japan
94.1,1993-02-01,Japan
78.9,1993-03-01,Japan
96.9,1993-04-01,Japan
134.3,1993-05-01,Japan
291.1,1993-06-01,Japan
325.7,1993-07-01,Japan
277.3,1993-08-01,Japan
230.8,1993-09-01,Japan
126.6,1993-10-01,Japan
141.6,1993-11-01,Japan
104.5,1993-12-01,Japan
69.2,1994-01-01,Japan
101.7,1994-02-01,Japan
89.3,1994-03-01,Japan
106.2,1994-04-01,Japan
112.3,1994-05-01,Japan
139.5,1994-06-01,Japan
80.7,1994-07-01,Japan
94.1,1994-08-01,Japan
242.8,1994-09-01,Japan
79.0,1994-10-01,Japan
64.2,1994-11-01,Japan
69.1,1994-12-01,Japan
83.5,1995-01-01,Japan
40.6,1995-02-01,Japan
113.8,1995-03-01,Japan
137.1,1995-04-01,Japan
191.6,1995-05-01,Japan
156.1,1995-06-01,Japan
271.9,1995-07-01,Japan
173.1,1995-08-01,Japan
144.4,1995-09-01,Japan
96.3,1995-10-01,Japan
78.3,1995-11-01,Japan
50.5,1995-12-01,Japan
61.7,1996-01-01,Japan
51.1,1996-02-01,Japan
132.3,1996-03-01,Japan
72.3,1996-04-01,Japan
114.9,1996-05-01,Japan
221.6,1996-06-01,Japan
174.3,1996-07-01,Japan
136.4,1996-08-01,Japan
159.3,1996-09-01,Japan
99.3,1996-10-01,Japan
101.6,1996-11-01,Japan
96.7,1996-12-01,Japan
67.4,1997-01-01,Japan
48.7,1997-02-01,Japan
90.4,1997-03-01,Japan
115.6,1997-04-01,Japan
164.2,1997-05-01,Japan
194.4,1997-06-01,Japan
257.0,1997-07-01,Japan
162.7,1997-08-01,Japan
