Country,Date,New Cases,New Deaths
New Zealand,2020-12-01,106.0,0.0
New Zealand,2021-01-01,141.0,0.0
New Zealand,2021-02-01,75.0,1.0
New Zealand,2021-03-01,123.0,0.0
New Zealand,2021-04-01,112.0,0.0
New Zealand,2021-05-01,60.0,0.0
New Zealand,2021-06-01,68.0,0.0
New Zealand,2021-07-01,132.0,0.0
New Zealand,2021-08-01,769.0,0.0
New Zealand,2021-09-01,648.0,1.0
New Zealand,2021-10-01,2298.0,1.0
New Zealand,2021-11-01,5118.0,16.0
New Zealand,2021-12-01,2395.0,7.0
New Zealand,2022-01-01,2500.0,2.0
New Zealand,2022-02-01,103915.0,3.0
New Zealand,2022-03-01,551093.0,258.0
New Zealand,2022-04-01,262171.0,393.0
New Zealand,2022-05-01,231993.0,433.0
New Zealand,2022-06-01,173028.0,333.0
New Zealand,2022-07-01,264932.0,622.0
New Zealand,2022-08-01,121231.0,0.0
New Zealand,2022-09-01,37600.0,0.0
New Zealand,2022-10-01,90386.0,24.0
New Zealand,2022-11-01,66322.0,93.0
New Zealand,2022-12-01,138533.0,119.0
New Zealand,2023-01-01,79212.0,146.0
New Zealand,2023-02-01,29808.0,65.0
New Zealand,2023-03-01,39924.0,120.0
New Zealand,2023-04-01,45046.0,74.0
New Zealand,2023-05-01,55503.0,206.0
New Zealand,2023-06-01,26970.0,135.0
New Zealand,2023-07-01,11979.0,61.0
Korea (ROK),2020-01-01,11.0,0.0
Korea (ROK),2020-02-01,2920.0,16.0
Korea (ROK),2020-03-01,6855.0,146.0
Korea (ROK),2020-04-01,979.0,85.0
Korea (ROK),2020-05-01,703.0,23.0
Korea (ROK),2020-06-01,1331.0,12.0
Korea (ROK),2020-07-01,1506.0,19.0
Korea (ROK),2020-08-01,5642.0,23.0
Korea (ROK),2020-09-01,3865.0,89.0
Korea (ROK),2020-10-01,2699.0,51.0
Korea (ROK),2020-11-01,7688.0,62.0
Korea (ROK),2020-12-01,26523.0,374.0
Korea (ROK),2021-01-01,17781.0,520.0
Korea (ROK),2021-02-01,11517.0,183.0
Korea (ROK),2021-03-01,13611.0,128.0
Korea (ROK),2021-04-01,18995.0,100.0
Korea (ROK),2021-05-01,18171.0,132.0
